,title,word count,l1,l2,l3,l4,l5,l6,l7,l8
https://colorcodedlyrics.com/mblaq-wish-you-hadn-t-ileoji-anhasseumyeonhae-2,이러지 않았으면해,338,0.165680473,0.207100592,0.236686391,0.286982249,0.322485207,0.360946746,0.378698225,0.387573964
https://colorcodedlyrics.com/mblaq-y-color-coded-lyrics,Y,267,0.138576779,0.176029963,0.277153558,0.325842697,0.352059925,0.4082397,0.411985019,0.434456929
https://colorcodedlyrics.com/mblaq-you-and-i-yuaenai,유앤아이,261,0.14559387,0.183908046,0.214559387,0.287356322,0.32183908,0.344827586,0.348659004,0.360153257
https://colorcodedlyrics.com/mblaq-you-re-my,You&#8217;re my +,269,0.148698885,0.178438662,0.267657993,0.334572491,0.360594796,0.3866171,0.405204461,0.408921933
https://colorcodedlyrics.com/mblaq-your-luv,Your Luv,112,0.0625,0.071428571,0.098214286,0.098214286,0.107142857,0.142857143,0.142857143,0.142857143
https://colorcodedlyrics.com/mblaq_-_beolinda_throw_away_cc_lyrics,버린다,283,0.148409894,0.197879859,0.28975265,0.335689046,0.356890459,0.38869258,0.399293286,0.399293286
https://colorcodedlyrics.com/mblaq_-_it_s_war_jeonjaengiya_cc_lyrics,전쟁이야,324,0.117283951,0.188271605,0.212962963,0.231481481,0.25308642,0.308641975,0.314814815,0.320987654
https://colorcodedlyrics.com/mblaq_embeullaeg_-_100_cc_lyrics,100%,246,0.142276423,0.203252033,0.284552846,0.321138211,0.329268293,0.357723577,0.369918699,0.369918699
https://colorcodedlyrics.com/mblaq_nagseo_scribbles_cc_lyrics,낙서,390,0.123076923,0.194871795,0.28974359,0.333333333,0.353846154,0.405128205,0.412820513,0.415384615
https://colorcodedlyrics.com/megan-lee-8dayz-feat-junhyung,8dayz,176,0.147727273,0.170454545,0.198863636,0.238636364,0.261363636,0.284090909,0.284090909,0.284090909
https://colorcodedlyrics.com/melody-day-all-about,All About,243,0.131687243,0.181069959,0.197530864,0.242798354,0.263374486,0.304526749,0.333333333,0.33744856
https://colorcodedlyrics.com/melody-day-color-kkallo,깔로,439,0.173120729,0.214123007,0.273348519,0.323462415,0.348519362,0.382687927,0.38952164,0.391799544
https://colorcodedlyrics.com/melody-day-hallo,Hallo,379,0.18469657,0.248021108,0.308707124,0.350923483,0.395778364,0.419525066,0.422163588,0.44591029
https://colorcodedlyrics.com/melody-day-kiss-lips,Kiss on the Lips,379,0.060686016,0.124010554,0.166226913,0.26121372,0.274406332,0.382585752,0.393139842,0.398416887
https://colorcodedlyrics.com/melody-day-speed-up,SPEED UP,209,0.148325359,0.186602871,0.244019139,0.277511962,0.311004785,0.349282297,0.363636364,0.387559809
https://colorcodedlyrics.com/mfbty-sweet-dream,Sweet Dream,242,0.148760331,0.243801653,0.26446281,0.314049587,0.338842975,0.371900826,0.384297521,0.392561983
https://colorcodedlyrics.com/migseunain-mixnine-just-dance,JUST DANCE,150,0.2,0.24,0.293333333,0.34,0.366666667,0.426666667,0.426666667,0.426666667
https://colorcodedlyrics.com/milktea-milkeuti-shy-confession-song-sujubeun-gobaegsong,수줍은 고백송,159,0.106918239,0.144654088,0.201257862,0.283018868,0.295597484,0.327044025,0.333333333,0.34591195
https://colorcodedlyrics.com/millic-paradise-feat-fanxychild,PARADISE,512,0.12890625,0.205078125,0.248046875,0.287109375,0.306640625,0.35546875,0.375,0.38671875
https://colorcodedlyrics.com/minah-mina-11,11°,268,0.123134328,0.197761194,0.23880597,0.28358209,0.332089552,0.432835821,0.436567164,0.440298507
https://colorcodedlyrics.com/minah-mina-of-girl-s-day-i-am-a-woman-too-nado-yeojayeyo,나도 여자예요,302,0.139072848,0.254966887,0.337748344,0.364238411,0.387417219,0.466887417,0.483443709,0.486754967
https://colorcodedlyrics.com/minah-mina-of-girl-s-day-you-and-i-niganaega,니가내가,189,0.248677249,0.312169312,0.380952381,0.423280423,0.423280423,0.481481481,0.486772487,0.486772487
https://colorcodedlyrics.com/minhyuk-of-cnblue-minhyeog-of-cnblue-star-byeol,별,231,0.134199134,0.199134199,0.242424242,0.298701299,0.350649351,0.385281385,0.393939394,0.402597403
https://colorcodedlyrics.com/mino-body-mom,몸,242,0.136363636,0.202479339,0.227272727,0.23553719,0.247933884,0.280991736,0.32231405,0.338842975
https://colorcodedlyrics.com/minseo-minseo-grand-dreams-meosjin-ggum,멋진 꿈,307,0.153094463,0.234527687,0.293159609,0.35504886,0.38762215,0.403908795,0.436482085,0.472312704
https://colorcodedlyrics.com/mintty-already-go-lady,Already Go Lady,274,0.124087591,0.182481752,0.193430657,0.218978102,0.233576642,0.266423358,0.266423358,0.291970803
https://colorcodedlyrics.com/minx-like-nado-neocheoleom,나도 너처럼,296,0.118243243,0.162162162,0.199324324,0.239864865,0.300675676,0.337837838,0.358108108,0.368243243
https://colorcodedlyrics.com/minx-love-shake,Love Shake,271,0.158671587,0.210332103,0.276752768,0.328413284,0.332103321,0.354243542,0.354243542,0.354243542
https://colorcodedlyrics.com/minx-mingseu-why-did-you-come-to-my-home-uli-jibe-wae-wassni,우리 집에 왜 왔니?,440,0.063636364,0.127272727,0.165909091,0.218181818,0.234090909,0.490909091,0.495454545,0.511363636
https://colorcodedlyrics.com/minx-shut-up,Shut Up,195,0.092307692,0.179487179,0.271794872,0.302564103,0.348717949,0.41025641,0.425641026,0.430769231
